"","country","year","month","cumulative_total_cases","daily_new_cases","active_cases","cumulative_total_deaths","daily_new_deaths","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","vaccines"
"1","Afghanistan",2021,10,156250,40,20325,7280,8,0,0,0,0,36635,0,0,0,920,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"2","Afghanistan",2021,11,157303,42,9446,7308,0,5228706,4397449,3566192,0,15991,13.13,11.04,8.95,401,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"3","Afghanistan",2021,2,55733,19,3956,2444,1,8200,8200,0,0,1367,0.02,0.02,0,34,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"4","Afghanistan",2021,3,56517,63,2478,2489,5,0,0,0,0,3000,0,0,0,75,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"5","Afghanistan",2021,4,59942,197,4105,2631,6,0,0,0,0,13921,0,0,0,349,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"6","Afghanistan",2021,5,72981,1143,12378,2974,30,0,0,0,0,5084,0,0,0,128,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"7","Afghanistan",2021,6,120216,1557,44242,4962,91,886854,699200,187654,0,15286,2.23,1.76,0.47,384,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"8","Afghanistan",2021,7,147501,347,42656,6737,29,0,0,0,0,1119,0,0,0,28,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"9","Afghanistan",2021,8,153260,40,35988,7123,5,1979652,773002,0,0,70761,4.97,1.94,0,1776,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"10","Afghanistan",2021,9,155191,17,23252,7206,2,2369625,828601,0,0,12999,5.95,2.08,0,326,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"11","Albania",2021,1,78127,876,29323,1380,11,0,0,0,0,0,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"12","Albania",2021,10,185300,413,7756,2924,8,0,0,0,0,4754,0,0,0,1655,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"13","Albania",2021,11,199945,195,7065,3096,4,2101039,1072645,961013,0,4925,73.13,37.34,33.45,1714,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"14","Albania",2021,12,200639,466,6633,3104,3,2166207,1092316,982658,5009,7773,75.4,38.02,34.2,2706,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"15","Albania",2021,2,107167,952,35598,1796,21,0,0,0,0,1054,0,0,0,367,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"16","Albania",2021,3,125157,434,31651,2235,8,138846,0,0,19525,12122,4.83,0,0,4219,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"17","Albania",2021,4,131085,108,19353,2394,5,476903,0,0,23655,12222,16.6,0,0,4254,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"18","Albania",2021,5,132315,6,433,2451,1,776461,486128,290333,4257,7332,27.03,16.92,10.11,2552,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"19","Albania",2021,6,132521,7,56,2456,0,968034,564530,403504,12536,7880,33.69,19.65,14.05,2743,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"20","Albania",2021,7,133081,45,402,2457,0,1198933,670215,528718,8086,9975,41.73,23.33,18.4,3472,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"21","Albania",2021,8,146387,1054,10088,2498,3,1472316,830396,641920,14268,10847,51.25,28.9,22.34,3776,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"22","Albania",2021,9,170131,669,9823,2698,13,1741373,946495,794878,8824,8247,60.61,32.95,27.67,2871,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"23","Algeria",2021,1,107339,217,31104,2891,3,0,0,0,0,1889,0,0,0,42,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"24","Algeria",2021,10,206452,94,58865,5920,2,0,0,0,0,18467,0,0,0,414,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"25","Algeria",2021,11,210531,187,60010,6071,7,12293060,6875003,5391232,147230,35110,27.55,15.41,12.08,787,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"26","Algeria",2021,2,113092,132,32011,2983,4,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"27","Algeria",2021,3,117192,131,32561,3093,4,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"28","Algeria",2021,4,122108,242,33747,3253,9,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"29","Algeria",2021,5,128913,188,35602,3472,7,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"30","Algeria",2021,6,139626,397,38821,3716,8,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"31","Algeria",2021,7,171392,1203,51862,4254,35,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"32","Algeria",2021,8,196080,506,57416,5269,29,0,0,0,0,256927,0,0,0,5759,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"33","Algeria",2021,9,203359,161,58238,5812,7,0,0,0,0,26714,0,0,0,599,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"34","Andorra",2021,1,9937,52,743,101,0,0,0,0,0,66,0,0,0,853,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"35","Andorra",2021,10,15516,0,144,130,0,104534,54999,49535,0,66,135.14,71.1,64.04,853,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"36","Andorra",2021,11,17185,70,1099,131,0,0,0,0,0,54,0,0,0,698,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"37","Andorra",2021,12,17658,232,1447,132,1,106428,56095,50333,0,54,137.59,72.52,65.07,698,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"38","Andorra",2021,2,10866,17,310,110,0,0,0,0,0,72,0,0,0,931,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"39","Andorra",2021,3,12010,66,580,115,0,0,0,0,0,197,0,0,0,2547,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"40","Andorra",2021,4,13232,34,423,125,0,0,0,0,0,159,0,0,0,2055,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"41","Andorra",2021,5,13727,34,142,127,0,35916,27613,8303,0,257,46.43,35.7,10.73,3322,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"42","Andorra",2021,6,13911,11,64,127,0,0,0,0,0,551,0,0,0,7123,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"43","Andorra",2021,7,14678,0,340,128,0,0,0,0,0,305,0,0,0,3943,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"44","Andorra",2021,8,15033,1,49,130,0,0,0,0,0,280,0,0,0,3620,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"45","Andorra",2021,9,15222,13,88,130,0,0,0,0,0,147,0,0,0,1900,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
